,Location,Population,Lower Limit,Upper Limit,Household Total,Median,Mean
0,"LosAngelesCounty,California",10105518.0,20.2,22.7,3305589,61338,89718
1,"CookCounty,Illinois",5180493.0,26.5,29,1963973,60046,86514
2,"HarrisCounty,Texas",4698619.0,25.5,29.7,1606399,56377,84551
3,"MaricopaCounty,Arizona",4410824.0,26,27.8,1521131,58737,81501
4,"SanDiegoCounty,California",3343364.0,18.5,21.7,1110568,70824,96692
5,"OrangeCounty,California",3185968.0,17.3,20.8,1032218,81837,113420
6,"Miami-DadeCounty,Florida",2761581.0,19.4,24.7,880766,45935,71914
7,"DallasCounty,Texas",2637772.0,26.9,32.6,924789,54399,80938
8,"KingsCounty,NewYork",2582830.0,21.2,24.1,941871,55150,83115
9,"RiversideCounty,California",2450758.0,24.5,29.6,715040,60134,79354
10,"QueensCounty,NewYork",2278906.0,21.2,24.7,761819,62207,81379
11,"KingCounty,Washington",2233163.0,21,22.8,861154,86095,116385
12,"ClarkCounty,Nevada",2231647.0,23.8,27,755258,54384,72277
13,"SanBernardinoCounty,California",2171603.0,25.8,31.5,633173,56337,73078
14,"TarrantCounty,Texas",2084931.0,26.4,32.1,696887,61534,84829
15,"BexarCounty,Texas",1986049.0,25.4,31.8,628924,53210,72419
16,"BrowardCounty,Florida",1951260.0,22.2,26.8,681474,54212,79147
17,"SantaClaraCounty,California",1937570.0,17.2,21.3,635687,111069,146813
18,"WayneCounty,Michigan",1753893.0,32.8,36,677208,43464,63254
19,"AlamedaCounty,California",1666753.0,17.3,21.5,572012,89979,117667
20,"NewYorkCounty,NewYork",1628701.0,13.5,16,748293,77559,143741
21,"MiddlesexCounty,Massachusetts",1614714.0,20.4,22.9,593437,95249,122927
22,"PhiladelphiaCounty,Pennsylvania",1584138.0,25.6,29.6,580205,41449,60857
23,"SacramentoCounty,California",1540975.0,26.5,31,535090,59780,81290
24,"PalmBeachCounty,Florida",1485941.0,18.8,23.6,536446,57580,89403
25,"SuffolkCounty,NewYork",1481093.0,21.8,26.2,474311,92933,118609
26,"HillsboroughCounty,Florida",1436888.0,22,26.2,514487,54588,76656
27,"BronxCounty,NewYork",1432132.0,26.3,31.7,498539,37525,53466
28,"OrangeCounty,Florida",1380645.0,22.9,27.6,468515,51335,73013
29,"NassauCounty,NewYork",1358343.0,20.9,25.4,440785,105870,139034
30,"FranklinCounty,Ohio",1310300.0,27.9,31.7,502932,56055,75539
31,"HennepinCounty,Minnesota",1259428.0,21.4,23.3,502061,71200,100769
32,"OaklandCounty,Michigan",1259201.0,22.8,26.3,500750,71920,100091
33,"TravisCounty,Texas",1248743.0,20.2,23.7,457810,70158,100262
34,"CuyahogaCounty,Ohio",1243857.0,27.9,32.7,534355,46601,69704
35,"AlleghenyCounty,Pennsylvania",1218452.0,25.6,29.6,528892,56140,78027
36,"SaltLakeCounty,Utah",1152633.0,23.7,25.7,366239,68665,89138
37,"FairfaxCounty,Virginia",1150795.0,19.3,23.3,395164,115717,147335
38,"ContraCostaCounty,California",1150215.0,21,26.7,391288,91045,122204
39,"MecklenburgCounty,NorthCarolina",1093901.0,25.4,30.2,399504,62978,89684
40,"WakeCounty,NorthCarolina",1092305.0,22.5,27.2,387771,76097,100576
41,"MontgomeryCounty,Maryland",1052567.0,19.6,22.3,373346,99763,135151
42,"FultonCounty,Georgia",1050114.0,22.6,27.3,396184,63510,100521
43,"PimaCounty,Arizona",1039073.0,23.7,26.9,400835,47560,65881
44,"CollinCounty,Texas",1005146.0,23.1,31.7,334794,89638,113597
45,"St.LouisCounty,Missouri",996945.0,25.4,29.5,403271,62572,93352
46,"FresnoCounty,California",994400.0,27.8,35.5,303216,48715,68967
47,"HonoluluCounty,Hawaii",980080.0,22.8,24.5,309169,80513,101034
48,"PinellasCounty,Florida",975280.0,22.1,27.1,407268,50036,71244
49,"WestchesterCounty,NewYork",967612.0,18.3,22.3,342216,89709,141104
50,"MarionCounty,Indiana",954670.0,30.7,34.1,368349,44874,65479
51,"DuvalCounty,Florida",950181.0,29,33.3,353946,51980,69765
52,"MilwaukeeCounty,Wisconsin",948201.0,30,34.2,381318,47607,66092
53,"FairfieldCounty,Connecticut",943823.0,19.8,21.9,335318,90123,143628
54,"BergenCounty,NewJersey",936692.0,19.4,24.3,337227,93683,126812
55,"ShelbyCounty,Tennessee",935764.0,32.7,38.3,354666,47690,70860
56,"GwinnettCounty,Georgia",927781.0,26.9,33.2,290405,67155,86057
57,"ErieCounty,NewYork",919719.0,27.5,32.3,380473,54246,73544
58,"KernCounty,California",896764.0,27.9,36.4,270359,49903,67594
59,"HartfordCounty,Connecticut",892697.0,24.6,27.1,350369,69433,93118
60,"PierceCounty,Washington",891299.0,29.3,32.6,317671,64434,82680
61,"SanFranciscoCounty,California",883305.0,15.9,21.4,358703,103801,144957
62,"MacombCounty,Michigan",874759.0,29.1,33.8,342255,60143,76249
63,"HidalgoCounty,Texas",865939.0,29.3,40.1,234716,36176,53230
64,"DentonCounty,Texas",859064.0,20.4,29.7,281964,80613,106034
65,"NewHavenCounty,Connecticut",857620.0,26.4,29.2,327560,66176,87686
66,"VenturaCounty,California",850967.0,17,23.8,268091,80135,105609
67,"ElPasoCounty,Texas",840758.0,24.4,32.8,267376,42165,57072
68,"WorcesterCounty,Massachusetts",830839.0,24.8,28.4,304833,69295,89825
69,"MiddlesexCounty,NewJersey",829685.0,23.2,28,283661,82375,102689
70,"MontgomeryCounty,Pennsylvania",828604.0,22.1,28.5,312447,84113,113622
71,"BaltimoreCounty,Maryland",828431.0,29,32.3,312921,72764,93346
72,"HamiltonCounty,Ohio",816684.0,26.1,31.1,335907,53229,77511
73,"SnohomishCounty,Washington",814901.0,27,30.3,286116,78716,95507
74,"MultnomahCounty,Oregon",811880.0,21.9,25.2,320476,62629,86044
75,"SuffolkCounty,Massachusetts",807252.0,20,23.4,306790,61796,93319
76,"EssexCounty,NewJersey",799767.0,26.9,30.9,280734,54277,92032
77,"OklahomaCounty,Oklahoma",792582.0,28.8,32.4,300690,51078,72437
78,"EssexCounty,Massachusetts",790638.0,22.6,26.7,289817,73901,100606
79,"FortBendCounty,Texas",787858.0,23,34.8,230121,90680,119536
80,"JeffersonCounty,Kentucky",770517.0,30.1,33.6,314161,51991,73595
81,"SanMateoCounty,California",769545.0,17.6,24.2,263445,108627,156259
82,"CobbCounty,Georgia",756865.0,25.8,32,277949,70947,94624
83,"LeeCounty,Florida",754610.0,23.3,29.3,261735,52909,74125
84,"SanJoaquinCounty,California",752660.0,28.4,36.5,227186,59518,77528
85,"MonroeCounty,NewYork",742474.0,26.5,31.7,299224,54492,74700
86,"DenverCounty,Colorado",716492.0,15.8,18.4,292003,61105,90835
87,"ElPasoCounty,Colorado",713856.0,20.7,23.7,257508,63882,80992
88,"PolkCounty,Florida",708009.0,34.6,40.9,226429,46355,61587
89,"NorfolkCounty,Massachusetts",705388.0,20.6,24.5,260609,92696,130123
90,"LakeCounty,Illinois",700832.0,21.9,28.4,244390,83152,119261
91,"JacksonCounty,Missouri",700307.0,29.7,33.9,281910,50815,70180
92,"DavidsonCounty,Tennessee",692587.0,26.7,32.9,281967,54855,78234
93,"WillCounty,Illinois",692310.0,28.1,35.2,228068,81438,98688
94,"BernalilloCounty,NewMexico",678701.0,21.4,25.6,262328,50601,69392
95,"HudsonCounty,NewJersey",676061.0,21.8,26.8,253321,63808,96308
96,"JeffersonCounty,Alabama",659300.0,32,36.6,261904,50180,74945
97,"KentCounty,Michigan",653786.0,27.1,31.6,238472,59668,79579
98,"ArapahoeCounty,Colorado",651215.0,20.3,23.4,235942,70950,96722
99,"TulsaCounty,Oklahoma",648360.0,29.1,33.2,254473,51325,73613
100,"ProvidenceCounty,RhodeIsland",636084.0,27.9,30.2,235728,52369,72289
101,"BucksCounty,Pennsylvania",628195.0,22.5,30.1,234126,79936,106713
102,"UtahCounty,Utah",622213.0,24.4,27.1,157803,69799,84827
103,"MonmouthCounty,NewJersey",621354.0,21.8,27.3,230769,90226,120305
104,"OceanCounty,NewJersey",601651.0,25,30.7,224308,62222,82537
105,"WashingtonCounty,Oregon",597695.0,27.5,32.1,213820,75634,94948
106,"JohnsonCounty,Kansas",597555.0,25.9,28,225606,80553,107288
107,"BrevardCounty,Florida",596849.0,26.8,33.1,226021,51184,70367
108,"MontgomeryCounty,Texas",590925.0,20.7,31.1,193637,71123,104877
109,"JeffersonCounty,Colorado",580233.0,18.5,21.6,230890,74186,96855
110,"AnneArundelCounty,Maryland",576031.0,27,30.9,206956,96483,117437
111,"DouglasCounty,Nebraska",566880.0,28.5,31.3,214073,58990,81035
112,"WilliamsonCounty,Texas",566719.0,26.5,33.4,173125,81818,98793
113,"DelawareCounty,Pennsylvania",564751.0,22.3,30.6,205188,67950,95868
114,"BristolCounty,Massachusetts",564022.0,26.3,31,214232,66027,84886
115,"NewCastleCounty,Delaware",559335.0,26.8,30,203782,67274,87144
116,"UnionCounty,NewJersey",558067.0,22.1,27.3,187922,72028,109955
117,"RamseyCounty,Minnesota",550210.0,24.7,27.5,208743,60369,81980
118,"StanislausCounty,California",549815.0,25.9,35.3,172881,54305,73567
119,"VolusiaCounty,Florida",547538.0,27.1,33.4,214039,45366,60941
120,"LancasterCounty,Pennsylvania",543557.0,27.4,36.9,196807,61335,79344
121,"DaneCounty,Wisconsin",542364.0,19.6,25.3,217506,70796,91445
122,"SummitCounty,Ohio",541918.0,26.5,33,222202,52036,70827
123,"PascoCounty,Florida",539630.0,28.8,35.3,195628,46264,64970
124,"KaneCounty,Illinois",534216.0,24.7,32.4,175360,73347,96716
125,"GuilfordCounty,NorthCarolina",533670.0,29.7,37.2,201520,47262,69367
126,"MontgomeryCounty,Ohio",532331.0,30,36.5,223131,46936,65800
127,"ChesterCounty,Pennsylvania",522046.0,17.9,26,187188,92407,125605
128,"PlymouthCounty,Massachusetts",518132.0,25.4,30.1,184577,82087,103580
129,"SpokaneCounty,Washington",514631.0,26,29.7,195807,53043,71032
130,"GreenvilleCounty,SouthCarolina",514213.0,26.1,30.6,187957,55342,75932
131,"SedgwickCounty,Kansas",513607.0,32.4,34.7,195815,52193,68980
132,"AdamsCounty,Colorado",511868.0,25.7,29.8,163122,66033,80680
133,"CamdenCounty,NewJersey",507078.0,28.6,34.2,185512,66362,88390
134,"PassaicCounty,NewJersey",503310.0,24.4,30.1,163868,62016,86051
135,"SonomaCounty,California",499942.0,18.8,25.9,187504,73929,97005
136,"MorrisCounty,NewJersey",494228.0,18,23,181059,106985,143205
137,"PolkCounty,Iowa",487204.0,29.6,33.7,182537,64067,82405
138,"LakeCounty,Indiana",484411.0,32.8,38.2,185575,53681,69932
139,"ClarkCounty,Washington",481857.0,27.9,32.4,169997,69062,89125
140,"RichmondCounty,NewYork",476179.0,24.1,30.1,164289,77197,95481
141,"HampdenCounty,Massachusetts",470406.0,28.6,34,178623,51544,69278
142,"AdaCounty,Idaho",469966.0,23.3,27.3,167026,61301,81878
143,"PrinceWilliamCounty,Virginia",468011.0,26.9,33.1,139792,97986,113703
144,"SeminoleCounty,Florida",467832.0,23.3,29.4,167549,61311,81857
145,"TulareCounty,California",465861.0,30.7,44,135648,45881,61897
146,"WashoeCounty,Nevada",465735.0,21.3,25,174726,58175,81564
147,"KnoxCounty,Tennessee",465289.0,27.4,34.1,183889,52102,72285
148,"OnondagaCounty,NewYork",461809.0,26.6,32,182984,56991,76174
149,"YorkCounty,Pennsylvania",448273.0,27.1,35.4,169885,62462,75945
150,"PinalCounty,Arizona",447138.0,30.7,35.8,132352,52555,65692
151,"SolanoCounty,California",446610.0,25.2,34.7,149172,73900,93929
152,"SantaBarbaraCounty,California",446527.0,20.4,29.5,142449,67436,93389
153,"BurlingtonCounty,NewJersey",445384.0,25.9,31.5,165862,80254,105413
154,"EastBatonRougeParish,Louisiana",440956.0,29.1,34.9,163764,50508,76485
155,"MontereyCounty,California",435594.0,23,32.9,125740,63876,88289
156,"JeffersonParish,Louisiana",434051.0,29.8,36.8,170710,49678,70728
157,"LucasCounty,Ohio",429899.0,32,37.7,180217,44534,63940
158,"SarasotaCounty,Florida",426718.0,18.6,24.7,176191,54989,79815
159,"DakotaCounty,Minnesota",425423.0,26.1,29.9,159765,78662,98463
160,"CameronCounty,Texas",423908.0,25.5,36.7,120499,37061,51206
161,"BerksCounty,Pennsylvania",420152.0,30.7,42.2,150402,59286,76779
162,"ClackamasCounty,Oregon",416075.0,25.8,31,154070,74891,99007
163,"HillsboroughCounty,NewHampshire",415247.0,26,29.3,158777,76254,93120
164,"RichlandCounty,SouthCarolina",414576.0,30.3,34.9,153376,52030,71025
165,"MobileCounty,Alabama",413757.0,34.1,39.1,157141,45744,61800
166,"GeneseeCounty,Michigan",406892.0,31.7,37.5,167171,43955,60115
167,"LoudounCounty,Virginia",406850.0,18.9,25.1,124916,134464,152447
168,"CharlestonCounty,SouthCarolina",405905.0,24.4,28.6,156836,56827,85601
169,"WaukeshaCounty,Wisconsin",403072.0,22.4,29.4,156503,81878,107347
170,"St.CharlesCounty,Missouri",399182.0,26.2,32.5,143152,80644,96421
171,"ManateeCounty,Florida",394855.0,23.4,30.1,142465,51748,74782
172,"PlacerCounty,California",393149.0,16.8,24.2,139104,85426,110245
173,"PulaskiCounty,Arkansas",392680.0,30.6,35.6,161291,47387,72387
174,"OrleansParish,Louisiana",391006.0,26.1,32.9,154355,38681,67259
175,"ButlerCounty,Ohio",382378.0,28,36.1,137314,63273,80568
176,"OrangeCounty,NewYork",381951.0,27.1,33.4,124365,73025,91061
177,"LaneCounty,Oregon",379611.0,24.4,29.7,147712,47777,63747
178,"ForsythCounty,NorthCarolina",379099.0,29,36.7,146219,48271,73006
179,"CollierCounty,Florida",378488.0,19,24.7,139522,61228,102009
180,"AllenCounty,Indiana",375351.0,29.6,34.9,142762,51173,67135
181,"StarkCounty,Ohio",371574.0,31,38.6,152129,50994,66163
182,"WashtenawCounty,Michigan",370963.0,22,27,140079,65601,94215
183,"BrazoriaCounty,Texas",370200.0,21.4,34.3,117168,74799,90604
184,"MercerCounty,NewJersey",369811.0,22.9,28.1,128332,77650,111623
185,"LehighCounty,Pennsylvania",368100.0,26.5,35.3,139199,60498,82854
186,"OsceolaCounty,Florida",367990.0,26.4,33.7,97569,51436,61195
187,"MadisonCounty,Alabama",366519.0,29.4,36.5,143669,60503,85057
188,"HamiltonCounty,Tennessee",364286.0,26.3,32.6,139615,47898,71471
189,"NuecesCounty,Texas",362265.0,28.9,36.5,129254,54318,70642
190,"MarionCounty,Florida",359977.0,27.7,34.1,134239,39383,54181
191,"LakeCounty,Florida",356495.0,27.9,34.7,128888,50226,62886
192,"BellCounty,Texas",355642.0,29.9,40.4,119985,52275,68060
193,"AnokaCounty,Minnesota",353813.0,27.7,31.6,126477,76533,90703
194,"DavisCounty,Utah",351713.0,24.8,28,103665,76905,93257
195,"WestmorelandCounty,Pennsylvania",350611.0,26.7,34.7,148238,56722,72166
196,"LarimerCounty,Colorado",350518.0,18.1,22.1,131407,66469,83934
197,"ChesterfieldCounty,Virginia",348556.0,28.5,35,122221,76059,92479
198,"MarionCounty,Oregon",346868.0,30.9,37.1,116787,56550,69379
199,"HorryCounty,SouthCarolina",344147.0,28.7,33.1,125562,45621,61572
200,"DouglasCounty,Colorado",342776.0,17.1,21.3,120125,109292,134850
201,"GalvestonCounty,Texas",337890.0,30.9,36.7,120938,64939,90498
202,"CumberlandCounty,NorthCarolina",332330.0,30.3,37.7,124014,45205,57267
203,"SomersetCounty,NewJersey",331164.0,19.1,24.2,116169,104478,142077
204,"HamiltonCounty,Indiana",330086.0,23,28.1,118521,89823,116274
205,"HenricoCounty,Virginia",329261.0,28.5,34.7,127930,66337,93035
206,"BoulderCounty,Colorado",326078.0,13.4,17,123820,74615,105099
207,"RocklandCounty,NewYork",325695.0,19.9,26,99257,85515,116116
208,"RutherfordCounty,Tennessee",324890.0,31.4,40.6,111387,61157,75267
209,"FayetteCounty,Kentucky",323780.0,23.9,29.6,127137,53178,77827
210,"HowardCounty,Maryland",323196.0,22.4,27.3,112542,120941,144125
211,"St.LucieCounty,Florida",321128.0,26.5,33.7,111617,44804,58817
212,"LuzerneCounty,Pennsylvania",317646.0,25,34.1,124118,46580,64446
213,"LancasterCounty,Nebraska",317272.0,27.3,30.2,122027,58845,76116
214,"DurhamCounty,NorthCarolina",316739.0,21.1,28.5,123697,53832,77836
215,"EscambiaCounty,Florida",315534.0,26.3,32.3,118702,44788,60692
216,"WeldCounty,Colorado",314305.0,26.6,31.3,102087,63400,81031
217,"SpartanburgCounty,SouthCarolina",313888.0,29.5,35.4,113463,47371,63453
218,"LorainCounty,Ohio",309461.0,31.6,41.4,117871,54504,74417
219,"RockinghamCounty,NewHampshire",309176.0,23.6,27.6,119688,81726,105809
220,"LubbockCounty,Texas",307412.0,29.5,40.4,111975,49136,68557
221,"AlbanyCounty,NewYork",307117.0,24.2,29.7,125329,61754,83464
222,"NorthamptonCounty,Pennsylvania",304807.0,26.7,36.4,111760,66438,83297
223,"LexingtonCounty,SouthCarolina",295032.0,28.7,34.8,110146,57382,75343
224,"DutchessCounty,NewYork",293718.0,23.1,29.5,108200,74115,99958
225,"CumberlandCounty,Maine",293557.0,21.2,24.4,118049,65913,86255
226,"InghamCounty,Michigan",292735.0,28.7,34.7,111779,49139,65974
227,"LeonCounty,Florida",292502.0,28.2,33.3,112119,51107,70567
228,"GreeneCounty,Missouri",291923.0,28.8,37.7,121734,42062,59033
229,"AnchorageMunicipality,Alaska",291538.0,29.3,34.2,105249,85634,106393
230,"GloucesterCounty,NewJersey",291408.0,27.6,33.2,105436,79879,95344
